person_id,name,age,gender,address,occupation,criminal_history_flag,risk_score
P-0259,Bahadurjit Bassi,34,Male,"H.No. 317, Chaudhary Ganj, Aurangabad-789940",Farmer,0,0.46
P-0260,Janya Bobal,54,Female,"71/705, Sagar Circle, Howrah 801413",Contractor,1,0.36
P-0261,Daksha Kashyap,64,Female,"839, Sagar Street, Gangtok-761228",Chartered Accountant,0,0.309
P-0262,Yashawini Nazareth,29,Female,"H.No. 58, Prabhu Path, Chinsurah-939836",Businessman,0,0.495
P-0263,Pranit Sethi,18,Male,"H.No. 049, Vasa Nagar, Barasat-433504",Trader,1,0.492
P-0264,Charvi Barad,41,Female,"245, Krish, Bardhaman-196931",Shopkeeper,0,0.379
P-0265,Wyatt Ghose,52,Male,"40/96, Bhalla Zila, Karnal-613906",Farmer,0,0.035
P-0266,Niharika Viswanathan,29,Female,"92/58, Dua Ganj, Singrauli 998136",Software Engineer,0,0.264
P-0267,Shravya Divan,35,Female,"H.No. 790, Rastogi Circle, Guwahati-862278",Mobile Shop Owner,0,0.214
P-0268,Yagnesh Rana,37,Male,"146, Chakraborty Path, Haridwar-553559",Chartered Accountant,0,0.074
P-0269,Niharika Gara,42,Female,"27/03, Prakash Ganj, Guwahati 039240",Trader,0,0.15
P-0270,Christopher Mody,51,Male,"H.No. 538, Jani Ganj, Motihari-920698",Businessman,1,0.086
P-0271,Joshua Garde,22,Male,"940, Anand Chowk, Munger 510463",Chartered Accountant,0,0.069
P-0272,Chandran Mutti,63,Male,"387, Bains Circle, Shahjahanpur-576205",Contractor,0,0.123
P-0273,Raagini Mittal,61,Female,"H.No. 460, Mammen Circle, Saharanpur-621689",Businessman,0,0.164
P-0274,Sathvik Khosla,50,Male,"H.No. 95, Deep Chowk, Durgapur-248262",Travel Agent,0,0.042
P-0275,Nitara Bir,38,Female,"H.No. 20, Sachdev Path, Avadi 423122",Shopkeeper,0,0.558
P-0276,Lila Kashyap,45,Female,"05/172, Singh Circle, Udaipur-772233",Auto Driver,0,0.333
P-0277,Samarth Aurora,23,Male,"331, Sarna Street, Anantapur 366096",Unemployed,1,0.322
P-0278,Ronith Yadav,23,Male,"70, Venkataraman Ganj, Thane 803476",Shopkeeper,0,0.421
P-0279,Mekhala Shenoy,46,Female,"H.No. 90, Dhar Circle, Bidhannagar-812982",Farmer,0,0.283
P-0280,Triveni Naik,42,Female,"793, Chana Chowk, North Dumdum-111751",Shopkeeper,1,0.128
P-0281,Fariq Radhakrishnan,54,Male,"592, Dhillon Street, Faridabad-447421",Farmer,1,0.286
P-0282,Harrison Aggarwal,28,Male,"77, Ahluwalia Circle, Patiala 977671",Trader,1,0.229
P-0283,Krisha Mall,56,Female,"205, Dhillon Nagar, Gangtok-510162",Student,1,0.091
P-0284,Meghana Goel,46,Female,"H.No. 145, Raghavan Path, Purnia-472145",Real Estate Agent,0,0.462
P-0285,Henry Kadakia,48,Male,"81/79, Sane Road, Rampur 299787",Real Estate Agent,1,0.183
P-0286,Gautam Kaul,38,Male,"H.No. 107, Johal Zila, Haridwar 558303",Trader,1,0.379
P-0287,Joshua Bir,46,Male,"85/01, Om Path, Jehanabad 235577",Mobile Shop Owner,1,0.289
P-0288,Ekanta Subramaniam,26,Female,"57/60, Mistry Circle, Miryalaguda-395512",Chartered Accountant,1,0.192
P-0289,Amruta Nori,56,Female,"96/29, Morar Zila, Patna-617357",Government Employee,0,0.187
P-0290,Hritik Vohra,41,Male,"H.No. 503, Sawhney Zila, Karawal Nagar 357845",Travel Agent,0,0.49
P-0291,Chavvi Varty,28,Female,"07/681, Mukhopadhyay Nagar, Hindupur-570184",Chartered Accountant,0,0.275
P-0292,Nimrat Kadakia,45,Female,"448, Sastry Path, Darbhanga 241098",Software Engineer,1,0.175
P-0293,Harshil Palla,46,Male,"493, Bobal Street, Pudukkottai 870207",Real Estate Agent,0,0.447
P-0294,Chatresh Rajagopal,48,Male,"62, Sehgal, Bijapur 381792",Software Engineer,1,0.553
P-0295,Vivaan Chatterjee,51,Male,"77/332, Kuruvilla, Katni-557701",Government Employee,1,0.106
P-0296,Daksh Panchal,63,Male,"459, Datta, Machilipatnam-581487",Software Engineer,1,0.148
P-0297,Samuel Khare,51,Male,"61, Joshi Path, Raebareli-832197",Auto Driver,0,0.219
P-0298,Vincent Nanda,29,Male,"461, Chopra, Khammam 013290",Chartered Accountant,0,0.138
P-0299,Falguni Sethi,42,Female,"97/33, Mistry Path, Raebareli 190986",Shopkeeper,0,0.275
P-0300,Manan Bhatia,41,Male,"H.No. 851, Balasubramanian Road, Bhiwani 566668",Real Estate Agent,1,0.11
P-0301,Harini Soman,54,Female,"65/62, Dass Road, Hyderabad-027621",Travel Agent,0,0.385
P-0302,Sarthak Shah,54,Male,"86, Sengupta Circle, Raichur-269097",Software Engineer,1,0.406
P-0303,Yamini Luthra,52,Female,"H.No. 097, Chowdhury Path, Vijayawada-847818",Contractor,0,0.369
P-0304,Krisha Sodhi,52,Female,"05/80, Setty Chowk, Chapra 654420",Bank Clerk,0,0.363
P-0305,Kalpit Bhat,37,Male,"04/90, Sundaram Road, Cuttack-442944",Contractor,0,0.473
P-0306,Abhimanyu Choudhury,46,Male,"75/243, Golla Chowk, Tiruvottiyur-292766",Contractor,0,0.128
P-0307,Thomas Ganesh,31,Male,"H.No. 410, Shetty Street, Fatehpur-783667",Mobile Shop Owner,0,0.18
P-0308,Eta Wali,28,Female,"H.No. 76, Wagle Path, Jalandhar-694544",Student,1,0.067
P-0309,Joshua Raman,21,Male,"93/852, Anne Path, Jabalpur-618175",Student,0,0.053
P-0310,Lucky Krishnamurthy,38,Male,"H.No. 910, Kalla, Jamshedpur-926921",Travel Agent,1,0.06
P-0311,Jonathan Menon,26,Male,"74/654, Borah Street, Ghaziabad-650442",Mobile Shop Owner,0,0.481
P-0312,Bhavya Swamy,59,Female,"712, Sankar Circle, Srikakulam-741011",Auto Driver,0,0.546
P-0313,Vansha Bahl,33,Female,"00/642, Raman Path, Kottayam-766183",Mobile Shop Owner,0,0.205
P-0314,Sanaya Subramaniam,58,Female,"H.No. 46, Chana Nagar, Deoghar 174328",Trader,0,0.329
P-0315,Rehaan Halder,43,Male,"H.No. 571, Gupta Chowk, Vadodara 093761",Farmer,0,0.288
P-0316,Yahvi Walla,47,Female,"H.No. 505, Ravi Nagar, Rajpur Sonarpur-829310",Government Employee,1,0.37
P-0317,Yash Bahl,64,Male,"202, Mohanty Nagar, Sirsa-911179",Government Employee,0,0.276
P-0318,Azad Jain,52,Male,"65/198, Nagy Street, Ranchi-511426",Trader,1,0.346
P-0319,Reva Gala,35,Female,"02/19, Dugar Marg, Morbi-002194",Real Estate Agent,0,0.199
P-0320,Wazir Date,54,Male,"48/763, Barad Street, Panchkula-456083",Contractor,0,0.151
P-0321,Daniel Wagle,20,Male,"83/73, Bera Road, Gorakhpur 772200",Software Engineer,0,0.33
P-0322,Lucky Kadakia,46,Male,"H.No. 97, Chawla Nagar, Siwan-207811",Government Employee,1,0.459
P-0323,Tristan Nanda,62,Male,"53/153, Khalsa Zila, Kollam-317970",Businessman,1,0.553
P-0324,Eta Kalita,23,Female,"52, Hari Chowk, Gopalpur-520904",Chartered Accountant,0,0.221
P-0325,Christopher Shroff,21,Male,"534, Dugar, Gangtok-168739",Trader,0,0.199
P-0326,Vihaan Mallick,45,Male,"33/569, Dixit Ganj, Erode 078068",Chartered Accountant,1,0.264
P-0327,Wakeeta Chaudhari,22,Female,"180, Kamdar Marg, Secunderabad-310742",Auto Driver,0,0.136
P-0328,Advik Sha,18,Male,"62/570, Rajan Zila, Bettiah-464989",Travel Agent,1,0.252
P-0329,Chaitaly Nayak,62,Female,"H.No. 165, Baria Chowk, Ambarnath 818325",Auto Driver,0,0.196
P-0330,Dakshesh Sridhar,24,Male,"H.No. 54, Sampath Circle, Meerut-557788",Real Estate Agent,0,0.271
P-0331,Wahab Wali,59,Male,"51/37, Buch Zila, Mangalore 112412",Chartered Accountant,1,0.318
P-0332,Faqid Jayaraman,46,Male,"82, Palan Chowk, Raiganj 431038",Real Estate Agent,0,0.43
P-0333,Samesh Oza,44,Male,"88/77, Deo Road, Tirunelveli 375402",Student,0,0.437
P-0334,Lucky Shah,26,Male,"84/222, Khanna Street, Kalyan-Dombivli-927452",Mobile Shop Owner,1,0.454
P-0335,Anika Nadig,38,Female,"H.No. 78, Walla Street, Bhilai 672752",Mobile Shop Owner,1,0.657
P-0336,Zehaan Narula,33,Male,"H.No. 92, Sathe, Gorakhpur 028140",Farmer,0,0.647
P-0337,Januja Sehgal,62,Female,"H.No. 09, Vyas Ganj, Alwar 018718",Shopkeeper,0,0.691
P-0338,Gunbir Swaminathan,51,Male,"56/265, Pradhan Marg, Anantapuram 547813",Student,0,0.176
P-0339,Triya Savant,59,Female,"66/299, Dhawan Zila, Avadi 851961",Shopkeeper,0,0.163
P-0340,Samarth Mahajan,49,Male,"79/23, Raj Street, Begusarai-049478",Trader,1,0.167
P-0341,Isaac Bala,51,Male,"H.No. 47, Mani Zila, Mangalore 301471",Businessman,0,0.12
P-0342,Warda Sarin,26,Female,"15/890, Gaba Road, Ulhasnagar 725204",Trader,0,0.155
P-0343,Shaurya Parekh,48,Male,"H.No. 81, Hari Circle, Bareilly 855445",Mobile Shop Owner,1,0.202
P-0344,Patrick Dhawan,34,Male,"45/76, Gaba Path, Bellary 833898",Bank Clerk,1,0.219
P-0345,Turvi Sharma,50,Female,"075, Patil Road, Mango 240132",Unemployed,0,0.367
P-0346,Jhalak Mohanty,62,Female,"161, Bahl Zila, Chinsurah-310890",Trader,1,0.763
P-0347,Daniel Kulkarni,35,Male,"H.No. 01, Jha Zila, Udaipur 012495",Software Engineer,1,0.74
P-0348,Faris Tella,52,Male,"H.No. 908, Handa Ganj, Tirunelveli-138759",Real Estate Agent,0,0.246
P-0349,Thomas Chhabra,37,Male,"63, Kari Circle, Gorakhpur-171827",Travel Agent,0,0.217
P-0350,Maanas Baria,45,Male,"16, Shan Road, Raiganj 864631",Software Engineer,0,0.289
P-0351,Qarin Gola,25,Male,"16/781, Dhar Zila, Rewa 215353",Shopkeeper,0,0.139
P-0352,Darsh Kaul,49,Male,"H.No. 99, Ratta Road, Fatehpur-784271",Real Estate Agent,0,0.203
P-0353,Ladli Suri,26,Female,"20/101, Bala Chowk, Eluru-249911",Travel Agent,0,0.14
P-0354,Viraj Jaggi,19,Male,"84, Oza Circle, Patna 167567",Real Estate Agent,0,0.141
P-0355,Andrew Bali,34,Male,"27/624, Sura Marg, Jehanabad-889778",Travel Agent,0,0.141
P-0356,Yashica Bhalla,50,Female,"96, Pandit, Pondicherry-090255",Real Estate Agent,1,0.157
P-0357,Onkar Rai,41,Male,"H.No. 56, Bhalla Path, Shahjahanpur 491141",Auto Driver,1,0.235
P-0358,Frado Bahri,32,Male,"69, Sama Circle, Jaipur 905696",Travel Agent,0,0.159
P-0359,Chandran Suresh,33,Male,"H.No. 78, Ganesan Path, Bharatpur 371834",Shopkeeper,0,0.204
P-0360,Arjun Mishra,20,Male,"19/19, Mahajan Path, Tezpur-635148",Farmer,0,0.285
P-0361,Upma Zacharia,32,Female,"64, Varma, Motihari 082973",Real Estate Agent,1,0.264
P-0362,Krish Walia,54,Male,"35/72, Dora Ganj, Raebareli-513644",Real Estate Agent,1,0.305
P-0363,Kabir Keer,29,Male,"H.No. 230, Mukherjee Ganj, Shivpuri-603242",Bank Clerk,0,0.34
P-0364,Leela Mall,22,Female,"70/015, Misra, Vellore-162319",Businessman,0,0.371
P-0365,Yutika Vohra,38,Female,"H.No. 391, Narayan Path, Noida 321234",Software Engineer,0,0.298
P-0366,Tara Kumar,54,Female,"51/58, Soman Marg, Alwar 575409",Mobile Shop Owner,1,0.516
P-0367,Avni Khatri,55,Female,"H.No. 51, Khalsa Circle, Munger 644134",Government Employee,0,0.266
P-0368,Faris Sarna,27,Male,"H.No. 417, Sachar Chowk, Bhusawal 248156",Shopkeeper,0,0.32
P-0369,Vasana Bala,58,Female,"72/063, Murthy Road, Bhubaneswar 382965",Contractor,0,0.124
P-0370,William Deol,60,Male,"95/431, Pillai Marg, Singrauli 930089",Trader,0,0.278
P-0371,Chaitanya Shere,51,Male,"20/696, Lad, Hubli–Dharwad-291086",Bank Clerk,0,0.308
P-0372,Yug Dani,63,Male,"447, De Marg, Tiruppur-436262",Unemployed,1,0.373
P-0373,Mohini Lala,62,Female,"597, Anne Zila, Guntur-636694",Businessman,0,0.369
P-0374,Champak Bhargava,50,Male,"759, Bath, Nizamabad 465280",Auto Driver,0,0.165
P-0375,Kalpit Gara,45,Male,"21, Wali Path, Ajmer-150274",Chartered Accountant,0,0.196
P-0376,Upasna Mandal,38,Female,"56/25, Dora Chowk, Meerut 203207",Businessman,0,0.181
P-0377,Gautami Sibal,38,Female,"07, Sundaram Path, Kumbakonam-215134",Government Employee,1,0.225
P-0378,Frado Trivedi,26,Male,"08/92, Bose Marg, Panchkula 504165",Mobile Shop Owner,0,0.149
P-0379,Neel Dube,28,Male,"77, Ahluwalia Road, Varanasi 592304",Government Employee,0,0.153
P-0380,Baghyawati Bobal,31,Female,"42, Rastogi Ganj, Jaipur-266421",Government Employee,1,0.422
P-0381,Yatan Sankaran,23,Male,"H.No. 15, Iyengar Circle, Amroha 749961",Auto Driver,0,0.437
P-0382,Qarin Grewal,31,Male,"H.No. 085, Kapur Chowk, Shimla-476174",Contractor,0,0.462
P-0383,Devansh Mital,40,Male,"H.No. 90, Bose Circle, Anand-866179",Trader,0,0.095
P-0384,Peter Kumar,19,Male,"H.No. 722, Bath Marg, Erode 597794",Trader,0,0.219
P-0385,Girik Kakar,24,Male,"94/168, Ahluwalia Nagar, Bhiwandi-277697",Government Employee,1,0.245
P-0386,Pranit Rana,18,Male,"203, Babu Zila, Indore 723683",Shopkeeper,0,0.268
P-0387,Nidhi Sheth,41,Female,"01, Dua Street, Shivpuri-079334",Chartered Accountant,0,0.315
P-0388,Ati Nath,22,Female,"66/799, Mannan Circle, Morbi 789973",Shopkeeper,0,0.279
P-0389,Zarna Bahl,26,Female,"14/67, Talwar Zila, Sultan Pur Majra-024375",Software Engineer,0,0.291
P-0390,Kala Tripathi,25,Female,"72/46, Parsa Marg, Nanded-417223",Shopkeeper,0,0.354
P-0391,Xalak Chaudhuri,64,Female,"H.No. 33, Batta Circle, Secunderabad-522801",Trader,0,0.497
P-0392,Tanveer Comar,40,Male,"37/45, Batra Path, Saharanpur-077119",Bank Clerk,0,0.508
P-0393,Anvi Tripathi,27,Female,"13/524, Toor Chowk, Navi Mumbai 552137",Shopkeeper,0,0.467
P-0394,Aarini Korpal,49,Female,"H.No. 82, Lata Zila, Vijayanagaram-328632",Trader,0,0.099
P-0395,Samuel Rout,35,Male,"H.No. 720, Boase Circle, Sonipat-626060",Trader,1,0.122
P-0396,Ayush Venkatesh,58,Male,"84, Padmanabhan Path, Parbhani 673899",Mobile Shop Owner,0,0.535
P-0397,Pooja Ravel,48,Female,"H.No. 085, Date Marg, Kakinada-884852",Farmer,0,0.221
P-0398,Amrita Zacharia,42,Female,"H.No. 68, Bhasin Zila, Rampur 101749",Unemployed,1,0.192
P-0399,Utkarsh Nori,35,Male,"H.No. 44, Dey, Saharsa-158935",Shopkeeper,0,0.561
P-0400,Chandran Din,28,Male,"H.No. 106, Soni Street, Amroha-586988",Software Engineer,1,0.299
P-0401,Kevin Tara,32,Male,"76/228, Sundaram Street, Bikaner-377028",Student,0,0.27
